1.000000	1.000000	0.000000
1.000000	2.000000	0.744282
1.000000	3.000000	0.574909
1.000000	4.000000	0.862833
1.000000	5.000000	0.842832
1.000000	6.000000	0.101194
1.000000	7.000000	0.000000
2.000000	1.000000	0.859711
2.000000	2.000000	0.000000
2.000000	3.000000	0.809043
2.000000	4.000000	0.770674
2.000000	5.000000	0.918059
2.000000	6.000000	0.310016
2.000000	7.000000	0.000000
3.000000	1.000000	0.742548
3.000000	2.000000	0.800405
3.000000	3.000000	0.000000
3.000000	4.000000	0.862833
3.000000	5.000000	0.940301
3.000000	6.000000	0.303864
3.000000	7.000000	0.000000
4.000000	1.000000	0.861712
4.000000	2.000000	0.598440
4.000000	3.000000	0.758227
4.000000	4.000000	0.000000
4.000000	5.000000	0.890234
4.000000	6.000000	0.101194
4.000000	7.000000	0.000000
5.000000	1.000000	0.890229
5.000000	2.000000	0.892624
5.000000	3.000000	0.925111
5.000000	4.000000	0.924615
5.000000	5.000000	0.000000
5.000000	6.000000	0.219237
5.000000	7.000000	0.000000
6.000000	1.000000	0.155606
6.000000	2.000000	0.155932
6.000000	3.000000	0.165461
6.000000	4.000000	0.158156
6.000000	5.000000	0.163252
6.000000	6.000000	0.000000
6.000000	7.000000	0.000000
7.000000	1.000000	0.000000
7.000000	2.000000	0.000000
7.000000	3.000000	0.000000
7.000000	4.000000	0.000000
7.000000	5.000000	0.000000
7.000000	6.000000	0.000000
7.000000	7.000000	0.000000
